"seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","feature_simplified"
"chr1",6209470,6209470,1,"*","TBP_peak_152",5.89,"Promoter (<=1kb)",1,6192930,6209389,16460,2,"6146","ENST00000465335.1",-81,"Promoter (<=1kb)"
"chr1",6235942,6235942,1,"*","TBP_peak_153",39.033,"Promoter (<=1kb)",1,6221193,6235964,14772,2,"23463","ENST00000343813.10",22,"Promoter (<=1kb)"
"chr1",6236259,6236259,1,"*","TBP_peak_154",15.1054,"Promoter (<=1kb)",1,6236240,6238940,2701,1,"148645","ENST00000441724.1",19,"Promoter (<=1kb)"
"chr1",6245218,6245218,1,"*","TBP_peak_155",9.12065,"Promoter (1-2kb)",1,6244179,6245578,1400,1,"390992","ENST00000706530.1",1039,"Promoter (1-2kb)"
"chr1",6246917,6246917,1,"*","TBP_peak_156",4.85883,"Promoter (2-3kb)",1,6244179,6245578,1400,1,"390992","ENST00000706530.1",2738,"Promoter (2-3kb)"
"chr1",6261569,6261569,1,"*","TBP_peak_157",4.17866,"Promoter (<=1kb)",1,6247353,6261098,13746,2,"387509","ENST00000377893.3",-471,"Promoter (<=1kb)"
"chr1",6343567,6343567,1,"*","TBP_peak_158",8.2379,"Intron (ENST00000608083.5/11332, intron 2 of 8)",1,6281130,6352249,71120,2,"11332","ENST00000473466.2",8682,"Other Intron"
"chr1",6393386,6393386,1,"*","TBP_peak_159",38.4817,"Promoter (<=1kb)",1,6264273,6393361,129089,2,"11332","ENST00000418124.5",-25,"Promoter (<=1kb)"
"chr1",6393776,6393776,1,"*","TBP_peak_160",22.2621,"Promoter (<=1kb)",1,6264272,6393767,129496,2,"11332","ENST00000361521.9",-9,"Promoter (<=1kb)"
"chr1",6395376,6395376,1,"*","TBP_peak_161",8.71012,"Promoter (1-2kb)",1,6264272,6393767,129496,2,"11332","ENST00000361521.9",-1609,"Promoter (1-2kb)"
"chr1",6404830,6404830,1,"*","TBP_peak_162",7.20789,"Distal Intergenic",1,6264272,6393767,129496,2,"11332","ENST00000361521.9",-11063,"Distal Intergenic"
"chr1",6438183,6438183,1,"*","TBP_peak_163",4.27479,"Promoter (<=1kb)",1,6437568,6440822,3255,1,"83715","ENST00000632142.1",615,"Promoter (<=1kb)"
"chr1",6486681,6486681,1,"*","TBP_peak_164",5.95821,"Promoter (<=1kb)",1,6475082,6485954,10873,2,"57449","ENST00000675655.1",-727,"Promoter (<=1kb)"
"chr1",6490067,6490067,1,"*","TBP_peak_165",3.96713,"Promoter (<=1kb)",1,6467122,6490570,23449,2,"57449","ENST00000377725.5",503,"Promoter (<=1kb)"
"chr1",6554513,6554513,1,"*","TBP_peak_166",87.1881,"Promoter (<=1kb)",1,6521347,6554513,33167,2,"79707","ENST00000377705.6",0,"Promoter (<=1kb)"
"chr1",6580008,6580008,1,"*","TBP_peak_167",29.4125,"Promoter (<=1kb)",1,6580001,6582299,2299,1,"3104","ENST00000319084.9",7,"Promoter (<=1kb)"
"chr1",6601311,6601311,1,"*","TBP_peak_168",4.11664,"Promoter (1-2kb)",1,6593381,6599816,6436,2,"9903","ENST00000496707.5",-1495,"Promoter (1-2kb)"
"chr1",6602836,6602836,1,"*","TBP_peak_169",75.1772,"Promoter (<=1kb)",1,6590724,6602869,12146,2,"9903","ENST00000377658.8",33,"Promoter (<=1kb)"
"chr1",6603520,6603520,1,"*","TBP_peak_170",5.82143,"Promoter (<=1kb)",1,6590724,6603001,12278,2,"9903","ENST00000377663.3",-519,"Promoter (<=1kb)"
"chr1",6604056,6604056,1,"*","TBP_peak_171",3.18438,"Promoter (1-2kb)",1,6590724,6603001,12278,2,"9903","ENST00000377663.3",-1055,"Promoter (1-2kb)"
"chr1",6613122,6613122,1,"*","TBP_peak_172",2.90297,"Promoter (<=1kb)",1,6613731,6624030,10300,1,"148479","ENST00000377648.5",-609,"Promoter (<=1kb)"
"chr1",6613535,6613535,1,"*","TBP_peak_173",6.91592,"Promoter (<=1kb)",1,6613731,6624030,10300,1,"148479","ENST00000377648.5",-196,"Promoter (<=1kb)"
"chr1",6625190,6625190,1,"*","TBP_peak_174",8.42777,"Promoter (<=1kb)",1,6625192,6635586,10395,1,"90326","ENST00000377627.7",-2,"Promoter (<=1kb)"
"chr1",6646668,6646668,1,"*","TBP_peak_175",4.46389,"Promoter (<=1kb)",1,6634186,6646956,12771,2,"55735","ENST00000685360.1",288,"Promoter (<=1kb)"
"chr1",6701847,6701847,1,"*","TBP_peak_176",93.5311,"Promoter (<=1kb)",1,6654108,6701823,47716,2,"55735","ENST00000460594.5",-24,"Promoter (<=1kb)"
"chr1",6727632,6727632,1,"*","TBP_peak_177",4.04171,"Promoter (2-3kb)",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",2959,"Promoter (2-3kb)"
"chr1",6739238,6739238,1,"*","TBP_peak_178",69.615,"Distal Intergenic",1,6724673,6729993,5321,1,"100505887","ENST00000654537.1",14565,"Distal Intergenic"
"chr1",6785006,6785006,1,"*","TBP_peak_179",38.2396,"Promoter (<=1kb)",1,6783892,6784843,952,2,"110841581","ENST00000442889.1",-163,"Promoter (<=1kb)"
"chr1",6963464,6963464,1,"*","TBP_peak_180",1.99074,"Intron (ENST00000303635.12/23261, intron 3 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",50815,"Other Intron"
"chr1",7335140,7335140,1,"*","TBP_peak_181",7.15965,"Intron (ENST00000303635.12/23261, intron 5 of 22)",1,7368942,7370270,1329,1,"23261","ENST00000427317.1",-33802,"Other Intron"
"chr1",7704612,7704612,1,"*","TBP_peak_182",6.43791,"Promoter (<=1kb)",1,7704716,7762985,58270,1,"23261","ENST00000710284.1",-104,"Promoter (<=1kb)"
"chr1",7761073,7761073,1,"*","TBP_peak_183",11.8375,"3' UTR",1,7751306,7767815,16510,1,"23261","ENST00000700449.1",9767,"3' UTR"
"chr1",7771077,7771077,1,"*","TBP_peak_184",18.9549,"Promoter (<=1kb)",1,7771296,7781432,10137,1,"9341","ENST00000054666.11",-219,"Promoter (<=1kb)"
"chr1",7784167,7784167,1,"*","TBP_peak_185",79.0983,"Promoter (<=1kb)",1,7784291,7845177,60887,1,"8863","ENST00000377532.8",-124,"Promoter (<=1kb)"
"chr1",7827696,7827696,1,"*","TBP_peak_186",10.552,"Promoter (<=1kb)",1,7810242,7827342,17101,2,"124903833","ENST00000451646.1",-354,"Promoter (<=1kb)"
"chr1",7849525,7849525,1,"*","TBP_peak_187",9.1865,"Intron (ENST00000377516.6/10911, intron 4 of 6)",1,7847612,7853065,5454,2,"10911","ENST00000361696.10",3540,"Other Intron"
"chr1",7902885,7902885,1,"*","TBP_peak_188",4.32305,"Distal Intergenic",1,7921800,7935100,13301,2,"3604","ENST00000474475.1",32215,"Distal Intergenic"
"chr1",7954236,7954236,1,"*","TBP_peak_189",34.2649,"Promoter (<=1kb)",1,7954291,7985052,30762,1,"11315","ENST00000493373.5",-55,"Promoter (<=1kb)"
"chr1",7961512,7961512,1,"*","TBP_peak_190",206.466,"Promoter (<=1kb)",1,7961663,7971048,9386,1,"11315","ENST00000460192.5",-151,"Promoter (<=1kb)"
"chr1",7982535,7982535,1,"*","TBP_peak_191",4.32305,"Intron (ENST00000493373.5/11315, intron 6 of 6)",1,7991134,8005312,14179,1,"124903834","ENST00000641354.1",-8599,"Other Intron"
"chr1",8004917,8004917,1,"*","TBP_peak_192",11.1399,"Exon (ENST00000641354.1/124903834, exon 6 of 6)",1,7999540,8002961,3422,1,"124903834","ENST00000642135.1",5377,"Other Exon"
"chr1",8015181,8015181,1,"*","TBP_peak_193",5.26065,"Promoter (<=1kb)",1,8013427,8015633,2207,2,"54206","ENST00000467067.1",452,"Promoter (<=1kb)"
"chr1",8026329,8026329,1,"*","TBP_peak_194",98.4054,"Promoter (<=1kb)",1,8011727,8026309,14583,2,"54206","ENST00000377482.10",-20,"Promoter (<=1kb)"
"chr1",8104733,8104733,1,"*","TBP_peak_195",6.89157,"Intron (ENST00000445300.1/121832806, intron 2 of 2)",1,8026738,8122702,95965,1,"121832806","ENST00000445300.1",77995,"Other Intron"
"chr1",8122663,8122663,1,"*","TBP_peak_196",4.39526,"Exon (ENST00000445300.1/121832806, exon 3 of 3)",1,8201518,8215207,13690,1,"102724539","ENST00000670361.1",-78855,"Other Exon"
"chr1",8122791,8122791,1,"*","TBP_peak_197",7.48403,"Downstream (<=300bp)",1,8201518,8215207,13690,1,"102724539","ENST00000670361.1",-78727,"Downstream (<=300)"
"chr1",8409264,8409264,1,"*","TBP_peak_198",4.19907,"Intron (ENST00000337907.7/473, intron 13 of 23)",1,8365855,8423419,57565,2,"473","ENST00000460659.5",14155,"Other Intron"
"chr1",8424062,8424062,1,"*","TBP_peak_199",4.75834,"Promoter (<=1kb)",1,8352410,8424234,71825,2,"473","ENST00000465125.2",172,"Promoter (<=1kb)"
"chr1",8525947,8525947,1,"*","TBP_peak_200",9.25375,"Promoter (<=1kb)",1,8352406,8525939,173534,2,"473","ENST00000377464.5",-8,"Promoter (<=1kb)"
"chr1",8542342,8542342,1,"*","TBP_peak_201",13.1994,"Intron (ENST00000337907.7/473, intron 7 of 23)",1,8495151,8526039,30889,2,"473","ENST00000507012.1",-16303,"Other Intron"
"chr1",8611773,8611773,1,"*","TBP_peak_202",4.36205,"Intron (ENST00000337907.7/473, intron 5 of 23)",1,8556476,8624380,67905,2,"473","ENST00000514428.1",12607,"Other Intron"
"chr1",8703431,8703431,1,"*","TBP_peak_203",45.6491,"Promoter (<=1kb)",1,8656193,8703219,47027,2,"473","ENST00000468247.1",-212,"Promoter (<=1kb)"
"chr1",8789499,8789499,1,"*","TBP_peak_204",30.002,"Intron (ENST00000337907.7/473, intron 2 of 23)",1,8436770,8817271,380502,2,"473","ENST00000659924.1",27772,"Other Intron"
"chr1",8792868,8792868,1,"*","TBP_peak_205",11.6359,"Intron (ENST00000337907.7/473, intron 1 of 23)",1,8436770,8817271,380502,2,"473","ENST00000659924.1",24403,"Other Intron"
"chr1",8797010,8797010,1,"*","TBP_peak_206",6.78481,"Intron (ENST00000337907.7/473, intron 1 of 23)",1,8436770,8817271,380502,2,"473","ENST00000659924.1",20261,"Other Intron"
"chr1",8817692,8817692,1,"*","TBP_peak_207",88.874,"Promoter (<=1kb)",1,8352404,8817640,465237,2,"473","ENST00000400908.7",-52,"Promoter (<=1kb)"
"chr1",8878065,8878065,1,"*","TBP_peak_208",71.6534,"Promoter (<=1kb)",1,8867184,8878033,10850,2,"2023","ENST00000646906.1",-32,"Promoter (<=1kb)"
"chr1",8878688,8878688,1,"*","TBP_peak_209",139.986,"Promoter (<=1kb)",1,8870172,8878688,8517,2,"2023","ENST00000486051.5",0,"Promoter (<=1kb)"
"chr1",8900032,8900032,1,"*","TBP_peak_210",20.3393,"Distal Intergenic",1,8868049,8879190,11142,2,"2023","ENST00000489867.2",-20842,"Distal Intergenic"
"chr1",8907776,8907776,1,"*","TBP_peak_211",4.69657,"Distal Intergenic",1,8868049,8879190,11142,2,"2023","ENST00000489867.2",-28586,"Distal Intergenic"
"chr1",9009729,9009729,1,"*","TBP_peak_212",35.3155,"Intron (ENST00000400906.2/155184, intron 9 of 11)",1,9002973,9026423,23451,2,"155184","ENST00000400906.2",16694,"Other Intron"
"chr1",9110961,9110961,1,"*","TBP_peak_213",4.36205,"Promoter (<=1kb)",1,9104532,9111370,6839,2,"80045","ENST00000465853.1",409,"Promoter (<=1kb)"
"chr1",9129026,9129026,1,"*","TBP_peak_214",2.8394,"Promoter (<=1kb)",1,9100305,9129102,28798,2,"80045","ENST00000377411.5",76,"Promoter (<=1kb)"
"chr1",9234418,9234418,1,"*","TBP_peak_215",13.2697,"Promoter (<=1kb)",1,9234774,9271337,36564,1,"9563","ENST00000377403.7",-356,"Promoter (<=1kb)"
"chr1",9234850,9234850,1,"*","TBP_peak_216",18.1115,"Promoter (<=1kb)",1,9234774,9271337,36564,1,"9563","ENST00000377403.7",76,"Promoter (<=1kb)"
"chr1",9267315,9267315,1,"*","TBP_peak_217",5.99773,"3' UTR",1,9292894,9369532,76639,1,"80176","ENST00000328089.11",-25579,"3' UTR"
"chr1",9292916,9292916,1,"*","TBP_peak_218",8.31682,"Promoter (<=1kb)",1,9292894,9369532,76639,1,"80176","ENST00000328089.11",22,"Promoter (<=1kb)"
"chr1",9300419,9300419,1,"*","TBP_peak_219",2.80925,"Intron (ENST00000328089.11/80176, intron 1 of 2)",1,9294528,9356497,61970,1,"80176","ENST00000450402.1",5891,"Other Intron"
"chr1",9411263,9411263,1,"*","TBP_peak_220",8.16072,"Distal Intergenic",1,9426975,9428916,1942,2,"100506022","ENST00000641507.1",17653,"Distal Intergenic"
"chr1",9428922,9428922,1,"*","TBP_peak_221",11.3026,"Promoter (<=1kb)",1,9426975,9428916,1942,2,"100506022","ENST00000641507.1",-6,"Promoter (<=1kb)"
"chr1",9491229,9491229,1,"*","TBP_peak_222",4.60265,"Distal Intergenic",1,9539465,9585173,45709,1,"84275","ENST00000302692.7",-48236,"Distal Intergenic"
"chr1",9495364,9495364,1,"*","TBP_peak_223",6.23799,"Distal Intergenic",1,9539465,9585173,45709,1,"84275","ENST00000302692.7",-44101,"Distal Intergenic"
"chr1",9519459,9519459,1,"*","TBP_peak_224",5.94908,"Distal Intergenic",1,9539465,9585173,45709,1,"84275","ENST00000302692.7",-20006,"Distal Intergenic"
"chr1",9529462,9529462,1,"*","TBP_peak_225",4.54039,"Distal Intergenic",1,9539465,9585173,45709,1,"84275","ENST00000302692.7",-10003,"Distal Intergenic"
"chr1",9539475,9539475,1,"*","TBP_peak_226",79.5613,"Promoter (<=1kb)",1,9539465,9585173,45709,1,"84275","ENST00000302692.7",10,"Promoter (<=1kb)"
"chr1",9588759,9588759,1,"*","TBP_peak_227",20.5396,"Promoter (<=1kb)",1,9588911,9614877,25967,1,"199953","ENST00000340381.11",-152,"Promoter (<=1kb)"
"chr1",9615838,9615838,1,"*","TBP_peak_228",3.81851,"Distal Intergenic",1,9607728,9613247,5520,1,"199953","ENST00000508400.1",8110,"Distal Intergenic"
"chr1",9627180,9627180,1,"*","TBP_peak_229",28.6043,"Promoter (2-3kb)",1,9629889,9715673,85785,1,"5293","ENST00000698706.1",-2709,"Promoter (2-3kb)"
"chr1",9651754,9651754,1,"*","TBP_peak_230",4.49875,"Promoter (<=1kb)",1,9651750,9716670,64921,1,"5293","ENST00000698711.1",4,"Promoter (<=1kb)"
"chr1",9657940,9657940,1,"*","TBP_peak_231",6.89672,"Intron (ENST00000698706.1/5293, intron 2 of 4)",1,9652610,9654586,1977,2,"644997","ENST00000377320.3",-3354,"Other Intron"
"chr1",9662302,9662302,1,"*","TBP_peak_232",43.3769,"Exon (ENST00000426570.3/ENST00000426570.3, exon 1 of 2)",1,9652610,9654586,1977,2,"644997","ENST00000377320.3",-7716,"Other Exon"
"chr1",9687264,9687264,1,"*","TBP_peak_233",6.16501,"Promoter (<=1kb)",1,9672405,9687583,15179,2,"101929074","ENST00000415330.4",319,"Promoter (<=1kb)"
"chr1",9717679,9717679,1,"*","TBP_peak_234",31.0971,"Promoter (<=1kb)",1,9717496,9720642,3147,1,"5293","ENST00000698786.1",183,"Promoter (<=1kb)"
"chr1",9719270,9719270,1,"*","TBP_peak_235",22.9637,"Promoter (<=1kb)",1,9718850,9720545,1696,1,"5293","ENST00000698787.1",420,"Promoter (<=1kb)"
"chr1",9725200,9725200,1,"*","TBP_peak_236",9.01492,"Intron (ENST00000481137.2/5293, intron 23 of 23)",1,9721136,9728906,7771,1,"5293","ENST00000698719.1",4064,"Other Intron"
"chr1",9759574,9759574,1,"*","TBP_peak_237",8.31682,"Intron (ENST00000377298.9/22883, intron 2 of 18)",1,9729028,9751581,22554,2,"22883","ENST00000435891.5",-7993,"Other Intron"
"chr1",9774836,9774836,1,"*","TBP_peak_238",14.325,"Intron (ENST00000377298.9/22883, intron 1 of 18)",1,9729028,9751581,22554,2,"22883","ENST00000435891.5",-23255,"Other Intron"
"chr1",9784680,9784680,1,"*","TBP_peak_239",5.26065,"Intron (ENST00000377298.9/22883, intron 1 of 18)",1,9729028,9751581,22554,2,"22883","ENST00000435891.5",-33099,"Other Intron"
"chr1",9823864,9823864,1,"*","TBP_peak_240",12.447,"Promoter (<=1kb)",1,9728926,9823965,95040,2,"22883","ENST00000377298.9",101,"Promoter (<=1kb)"
"chr1",9910704,9910704,1,"*","TBP_peak_241",32.6685,"Promoter (<=1kb)",1,9850109,9910336,60228,2,"56998","ENST00000400904.7",-368,"Promoter (<=1kb)"
"chr1",9929564,9929564,1,"*","TBP_peak_242",14.3299,"Promoter (2-3kb)",1,9930261,9932180,1920,2,"84328","ENST00000471853.1",2616,"Promoter (2-3kb)"
"chr1",9943478,9943478,1,"*","TBP_peak_243",130.525,"Promoter (<=1kb)",1,9943475,9985498,42024,1,"64802","ENST00000377205.6",3,"Promoter (<=1kb)"
"chr1",9950537,9950537,1,"*","TBP_peak_244",9.6546,"Intron (ENST00000403197.5/64802, intron 1 of 4)",1,9943488,9972503,29016,1,"64802","ENST00000492735.1",7049,"Other Intron"
